Category,Tweet
negative,Let's vote for Jonghyun on Masterkey Ep.8 🐢🗝️ If you've voted for Ep.4 and 6 use the accs again to login ^^ Link: https://t.co/G2P7lntds3 1. Register if you haven't *pic 1-2 2. Login 3. Go back to page 4. Tick *pic 3 5. Vote *pic 4 Vote everyday until 18th Nov! #김종현 https://t.co/uK1XvL9qYQ
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
neutral,Can't wait to watch Masterkey tomorrow~! https://t.co/32xhmyBQzl https://t.co/tTcT1M2uk7
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
negative,🌟 By the way #Shawols please vote for Kibum or Minho for #MasterKey it’s truly important because those votes give them a chance to get the Golden Chance Card it would be an individual advantage for them in the game ! 🌟 (See the links on @Global_SHINee account !)
positive,Kang Daniel was like: "oKAY SUPER JUNIOR SUNBAENIMS U'R NEXT ON MY LIST" 😁🍑🍑 #WannaOne #KangDaniel #MasterKey #SuperJunior https://t.co/6dscIiUfxL
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,Can't wait to watch Masterkey tomorrow~! https://t.co/32xhmyBQzl https://t.co/tTcT1M2uk7
neutral,Can't wait to watch Masterkey tomorrow~! https://t.co/32xhmyBQzl https://t.co/tTcT1M2uk7
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
positive,just wondering if 97 line male idol are becoming as guest at Masterkey one day.. one word : CHAOS #Masterkey
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
neutral,Heechul’s instagram update with Jonghyun: Gangwon-do’s sons⛰️🐢🐱 #MasterKey #OurJonghyunnie #KindJonghyunnie #CuteJonghyunnie #TortoiseJonghyunnie https://t.co/TOKnrxzY6s
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
positive,@ whoever decided to invite sungwoon onto masterkey may you live a long &amp; prosperous life https://t.co/2KbrKYpB4y
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
neutral,#Eyedi Proving herself as one of #Mixnine Visuals 😍 #남유진 #믹스나인 #NamYujin https://t.co/Eh9mtW9c8A
positive,When donghyun wants to say "i'm your boyfriend" then he remembers that he's in a different group😂😂 #보이프렌드 #theunit #redteam #donghyun https://t.co/f4GBcNBcpd
neutral,[Cut] 171111 #TheUnit Ep.3 #Hansol #지한솔 #한솔 ©Heart_Soul_1121 https://t.co/C53PtLA350
neutral,#TheUnit #더유닛 Red Team's #JiHansol #지한솔 a Dance God Dance King 🔗 https://t.co/I46lE0jZfv https://t.co/rBKdmt4T6u
positive,VICTORY! Did you catch #MVP's #RAYOON #PK &amp; #JIN in #UNITBBLACK's choreography practice for 'My Turn'? 🕺 They're absolutely killing us with their smooth moves 😍 #엠브이피 #라윤 #피케이 #진 #더유닛 #THEUNIT #유닛B #UNITB https://t.co/vTb00xfZc7
positive,[VID/#MIXNINE] [Boys x Girls '9' Vote For Me] Lee Siyeon | Happy Face #해피페이스 #드림캐쳐 #Dreamcatcher #시연 #이시연 #믹스나인 https://t.co/lmj45TculF
neutral,red team keeps on pushing jisol to lead the dance to my turn and he ended up dancing alone they're cheering for him aw so cute 😂😍 #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/JCgSoKu3hH
neutral,red team keeps on pushing jisol to lead the dance to my turn and he ended up dancing alone they're cheering for him aw so cute 😂😍 #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/JCgSoKu3hH
positive,JYP: What are your strong and weak points? Hyunsuk: "My strong point is that i don't feel nervous when i do something i'm always at ease. My flaw... i'm kinda short" hahaha cute *JYP's face tho 😂* #MIXNINE #YGtrainee https://t.co/bMYveoPykF
positive,#KNK #크나큰 #희준 #HEEJUN #MIXNINE #MIX9 #믹스나인 Eng subs HEEJUN's PR movie I have no confidence to translate this time lol especially his charming points and aegyo part(almost everything lol)... but he said LIKE A PUPPY(cute way to call DOG) definitely https://t.co/hBBgYDJHex https://t.co/pYBzXvNB2s
neutral,[CUT] Ji Hansol danced My Turn at Music Bank arrival cr: kbs news english (youtube) #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/p3HE797wGP
negative,YG trainees group dance audition!!! song: Sweatpants - Childish Gambino #MIXNINE #YGtrainees #Byounggon #Junkyu #Hyunsuk #YG https://t.co/kKi2OaPteZ
negative,@taylorswift13 Look what you made me do was danced perfectly by Shin Ryujin a JYP trainee in a survival show (MIXNINE) #Taylor #ShinRyujin #신류진 #JYP #MIXNINE https://t.co/iieID72Hhm
neutral,red team keeps on pushing jisol to lead the dance to my turn and he ended up dancing alone they're cheering for him aw so cute 😂😍 #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/JCgSoKu3hH
neutral,171117 The Unit male red team at Music Bank Source: https://t.co/9MwDyd4GJG #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/phrKdjSCk5
positive,OMGGG KANG DANIEL HOW OLD ARE YOU?!!!!! 😂😂💕💕 #WANNAONE #KANGDANIEL #WANNAONEGO https://t.co/YZosSWr0Oq
positive,When donghyun wants to say "i'm your boyfriend" then he remembers that he's in a different group😂😂 #보이프렌드 #theunit #redteam #donghyun https://t.co/f4GBcNBcpd
neutral,red team keeps on pushing jisol to lead the dance to my turn and he ended up dancing alone they're cheering for him aw so cute 😂😍 #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/JCgSoKu3hH
neutral,the visuals! #지한솔 #한솔 #더유닛 #JiHansol #TheUnit https://t.co/EmwsoWwfMD
positive,#TheUnit is definitely getting interesting! The auditions were okay but I'm really loving it now that everyone's mixing together. Leaders are emerging! Magic is happening! https://t.co/cGt2SpMrzx
neutral,[PHOTO] Myname's KIMSEYONG IG UPDATE with #TOPSECRET #JUNGHOON #KYEONGHA #TheUnit #BlueTeam #일급비밀 #더유닛 https://t.co/MW7GaKnmFl https://t.co/TEeESUCTfF
neutral,red team keeps on pushing jisol to lead the dance to my turn and he ended up dancing alone they're cheering for him aw so cute 😂😍 #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/JCgSoKu3hH
negative,[VID. CUT] The UNIT Red Team arrived and danced My Turn at Music Bank arrival Credit: KBS News English Link: https://t.co/HxDTZjSWxT #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/aBM8fny363
negative,Please support our members on both The Unit and Mixnine. The unit — Park Junhee  Kang Yoochan Mixnine — Kim Seyoon  Lee Donghun  Kim Byeongkwan #ACE #에이스 #JUN #HUN #WOW #JASON #CHAN #TheUnit #더유닛 #MIXNINE #믹스나인 https://t.co/xuNW7WDgeY
negative,[VID. CUT] The UNIT Red Team arrived and danced My Turn at Music Bank arrival Credit: KBS News English Link: https://t.co/HxDTZjSWxT #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/aBM8fny363
neutral,Mixnine's underrated visual Baek Jin say's hi #MIXNINE https://t.co/EMytU09bhP
neutral,[PIC] Running Man Ep. 377 Preview Guests: #gugudan Kim Sejeong Actress Ko SungHee Comedian Kim Jimin Actress Im Semi Theme: Return of the Heiress Race #RUNNINGMAN https://t.co/9u1lwFIrJt
neutral,#TheUnit #더유닛 Red Team's #JiHansol #지한솔 a Dance God Dance King 🔗 https://t.co/I46lE0jZfv https://t.co/rBKdmt4T6u
negative,[VID. CUT] The UNIT Red Team arrived and danced My Turn at Music Bank arrival Credit: KBS News English Link: https://t.co/HxDTZjSWxT #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/aBM8fny363
neutral,[PIC] Running Man Ep. 377 Preview (5) Guests: #gugudan Kim Sejeong Actress Ko SungHee Comedian Kim Jimin Actress Im Semi Theme: Return of the Heiress Race #RUNNINGMAN https://t.co/Qad6giljaV
neutral,[CUT] Ji Hansol danced My Turn at Music Bank arrival cr: kbs news english (youtube) #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/p3HE797wGP
neutral,red team keeps on pushing jisol to lead the dance to my turn and he ended up dancing alone they're cheering for him aw so cute 😂😍 #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/JCgSoKu3hH
positive,Red Team / My Turn Practice Full Cam ver. #LEEGEON #이건 #THEUNIT #더유닛 https://t.co/9mKbwCVlqW
positive,HE LOOKS SO ADORABLE 😍💯 #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/0uNZ5rv1tn
neutral,red team keeps on pushing jisol to lead the dance to my turn and he ended up dancing alone they're cheering for him aw so cute 😂😍 #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/JCgSoKu3hH
negative,[VID. CUT] The UNIT Red Team arrived and danced My Turn at Music Bank arrival Credit: KBS News English Link: https://t.co/HxDTZjSWxT #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/aBM8fny363
positive,White Team / My Turn Practice Full Cam ver. #대원 #DAEWON #더유닛 #THEUNIT https://t.co/0kDgb24dN9
positive,@soompi Im glad youre okay already ! 💕 Please support Boyfriend Donghyun on TheUnit and vote for him each day !!! ❤🌸💖 https://t.co/crE5msOLOm
positive,A productive practice 💦 works up a big appetite! 😋 Check out these behind-the-scenes #THEUNIT cuts of #MVP's #RAYOON #PK &amp; #JIN rehearsing with their teammates and enjoying a delicious meal 🍽️ #엠브이피 #라윤 #피케이 #진 #더유닛 #유닛B #UNITB https://t.co/nOPvAh6zHd
neutral,red team keeps on pushing jisol to lead the dance to my turn and he ended up dancing alone they're cheering for him aw so cute 😂😍 #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/JCgSoKu3hH
neutral,what a sunshine #믹스나인 #채창현 #MIXNINE https://t.co/WwORw4jAw0
positive,🌸Please Allways support FULL CAM ver. [Choreography practice of 'My Turn' (Boys-Orange) #더유닛 #TheUnit #the_unit #theunitkbs #kbstheunit https://t.co/MTEyXovm5a
neutral,eng sub of mixnine ep3 please
positive,[VOTE/#MIXNINE] Fandoms Unite! We've teamed up with @KNK_Fanbase to vote for #Dreamcatcher &amp; #KNK members on MIXNINE! Let's do this! ♥ #크나큰 #드림캐쳐 #믹스나인 #김민지 #김유현 #이시연 #이유빈 #박승준 #정인성 #오희준 #투표 #믹스나인 https://t.co/wzWuuDERt0
negative,#KNK #크나큰 #승준 #SEUNGJUN #MIXNINE #MIX9 Eng subs SEUNGJUN's PR movie sounds are too small... https://t.co/JVCT5pWCgH https://t.co/P2R1QUZ2rk
positive,[VID/#MIXNINE] [Boys x Girls '9' Vote For Me] Lee Siyeon | Happy Face #해피페이스 #드림캐쳐 #Dreamcatcher #시연 #이시연 #믹스나인 https://t.co/lmj45TculF
neutral,#TheUnit #더유닛 Red Team's #JiHansol #지한솔 a Dance God Dance King 🔗 https://t.co/I46lE0jZfv https://t.co/rBKdmt4T6u
neutral,[PIC] Running Man Ep. 377 Preview (6) Guests: #gugudan Kim Sejeong Actress Ko SungHee Comedian Kim Jimin Actress Im Semi Theme: Return of the Heiress Race #RUNNINGMAN https://t.co/TuD1buaM2S
positive,#KNK #크나큰 #희준 #HEEJUN #MIXNINE #MIX9 #믹스나인 Eng subs HEEJUN's PR movie I have no confidence to translate this time lol especially his charming points and aegyo part(almost everything lol)... but he said LIKE A PUPPY(cute way to call DOG) definitely https://t.co/hBBgYDJHex https://t.co/pYBzXvNB2s
neutral,[PIC] Running Man Ep. 377 Preview Guests: #gugudan Kim Sejeong Actress Ko SungHee Comedian Kim Jimin Actress Im Semi Theme: Return of the Heiress Race #RUNNINGMAN https://t.co/9u1lwFIrJt
neutral,[PIC] Running Man Ep. 377 Preview (3) Guests: #gugudan Kim Sejeong Actress Ko SungHee Comedian Kim Jimin Actress Im Semi Theme: Return of the Heiress Race #RUNNINGMAN https://t.co/2nMVnFFird
neutral,HBY Taro contestant of THEUNIT is fanboy of OhMyGirl.He even said he is part of MiracleFanclub and dance to WindyDay https://t.co/BAxrLg0hdL
positive,Jung Dasol (JD trainee) left a message for CL hahaha she has even a 2NE1 banner how cute ;v; "I'm a BlackJack! CL sunbaenim if you're watching this I LOVE YOU!" #MIXNINE https://t.co/4zOyuuT2aW
neutral,[PIC] Running Man Ep. 377 Preview (4) Guests: #gugudan Kim Sejeong Actress Ko SungHee Comedian Kim Jimin Actress Im Semi Theme: Return of the Heiress Race #RUNNINGMAN https://t.co/lQzZCBafSu
positive,[IG] 171116 kkkhj__ (Go Hojung) instagram update with Ji Hansol "big eyes Sol-ah" https://t.co/LnUUoVTAnM #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/GwiE0Fwslc
neutral,[PIC] Running Man Ep. 377 Preview (5) Guests: #gugudan Kim Sejeong Actress Ko SungHee Comedian Kim Jimin Actress Im Semi Theme: Return of the Heiress Race #RUNNINGMAN https://t.co/Qad6giljaV
negative,[VID. CUT] The UNIT Red Team arrived and danced My Turn at Music Bank arrival Credit: KBS News English Link: https://t.co/HxDTZjSWxT #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/aBM8fny363
neutral,The 2 Center Groups Of "#TheUnit" To Perform On "Music Bank" This Week https://t.co/SlMMjfK3CD https://t.co/Hlob9SJgRx
negative,YG trainees group dance audition!!! song: Sweatpants - Childish Gambino #MIXNINE #YGtrainees #Byounggon #Junkyu #Hyunsuk #YG https://t.co/kKi2OaPteZ
neutral,#TheUnit #더유닛 Red Team's #JiHansol #지한솔 a Dance God Dance King 🔗 https://t.co/I46lE0jZfv https://t.co/rBKdmt4T6u
neutral,#TheUnit #더유닛 Red Team's #JiHansol #지한솔 a Dance God Dance King 🔗 https://t.co/I46lE0jZfv https://t.co/rBKdmt4T6u
negative,[VID. CUT] The UNIT Red Team arrived and danced My Turn at Music Bank arrival Credit: KBS News English Link: https://t.co/HxDTZjSWxT #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/aBM8fny363
negative,[VID. CUT] The UNIT Red Team arrived and danced My Turn at Music Bank arrival Credit: KBS News English Link: https://t.co/HxDTZjSWxT #JiHansol #TheUnit #지한솔 #더유닛 https://t.co/aBM8fny363
neutral,[PIC] Running Man Ep. 377 Preview (2) Guests: #gugudan Kim Sejeong Actress Ko SungHee Comedian Kim Jimin Actress Im Semi Theme: Return of the Heiress Race #RUNNINGMAN https://t.co/CQI568QFW2
neutral,the visuals! #지한솔 #한솔 #더유닛 #JiHansol #TheUnit https://t.co/EmwsoWwfMD
negative,im so sad that gunmin wont be in gunhee and hwanwoong's vlives anymore since he's stuck in mixnine
