Lable,Tweet
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
neutral,Drunk Minjoon and Hari &lt;3 #MadDog https://t.co/ylOQsldiZ0
neutral,Cheetah, the truly shipper of Minjoon-Hari ㅋㅋㅋ #MadDog https://t.co/pZP37fqGpp
neutral,Yup, he is definitely the president of shipper of Minjoon-Hari #MadDog https://t.co/RshXlGGQTm
neutral,#BlackKnight still cuts : #KimRaeWon 😍💞 https://t.co/COzMpFo1nO
neutral,Ratings 171116: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% #BuamdongRevengeSocialClub : 6.3%
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
neutral,Ratings 171116: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% #BuamdongRevengeSocialClub : 6.3%
neutral,"t pain is a maddog!" - Cool person who knows what they're talking about
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
neutral,Ratings 171116: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% #BuamdongRevengeSocialClub : 6.3%
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
neutral,Ratings 171116: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% #BuamdongRevengeSocialClub : 6.3%
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
neutral,Ratings 171116: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% #BuamdongRevengeSocialClub : 6.3%
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
positive,BREAKING Trump’s Top Enemy In America ARRESTED And It’s Sweet Justice Af... https://t.co/ck7eMZlRMl via @YouTube
positive,Sweet Enemy Episode 113 https://t.co/eLEHzk5vhN https://t.co/RIBkzCK9or
positive,Sweet Satisfaction living in enemy territory... beat down of the toilers... 8-2... #PittsburghSteelers #steelers #GoSteelers #ThursdayNightFootball #nfl #NFLNetwork https://t.co/ZKrlowgzre
negative,Can't wait for today's episode of sweet enemy! You're going down fucking se na and her fam
positive,JP Macura is probably public enemy #1 in Madison right now. Did the gator chomp to taunt the UW student section at the end of the game. Student section responded by chanting “Sweet Sixteen! Sweet Sixteen!” #Badgers
negative,Procrastination be my worst enemy
positive,+ @ChrisCrocker told me a while back in my early teens to never fall for the enemy because they're not what they seem but my god is he just so damn sweet and delicious. Ugh, why did I have to fall the enemy?! https://t.co/vhgcMygXyj
positive,sweet enemy episode 113 English Subtitle Preview / kdrama 2017 https://t.co/n11TmoVA3y
positive,BREAKING Trump’s Top Enemy In America ARRESTED And It’s Sweet Justice Af... https://t.co/1xSsadixtH via @YouTube
positive,@Farrukh_Abbas12 Cooperation between Israel &amp; Jordan has been unfolding in different spheres since decades; when Is real will start supplies to Jordan from Leviathan, there will be a nice interdependence. The enemy of my enemy is my friend. Welcome to ME. Everything else is sweet naivity😁 2/2
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
positive,#JiHyunWoo said #TemperatureOfLove's #YangSeJong reminds him of his role in 'My Sweet Seoul' because the character also dated an older woman https://t.co/vNn34eLWtP https://t.co/eB7csR9Eia
positive,#JiHyunWoo said #TemperatureOfLove's #YangSeJong reminds him of his role in 'My Sweet Seoul' because the character also dated an older woman https://t.co/vNn34eLWtP https://t.co/eB7csR9Eia
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,OH NOOOOOOOO YEON WOO JIN DOING VLIVE MYGOODNESS MY JUDGE! #YeonWooJin #NothingToLose https://t.co/tevIelVkrq
neutral,OH NOOOOOOOO YEON WOO JIN DOING VLIVE MYGOODNESS MY JUDGE! #YeonWooJin #NothingToLose https://t.co/tevIelVkrq
neutral,OH NOOOOOOOO YEON WOO JIN DOING VLIVE MYGOODNESS MY JUDGE! #YeonWooJin #NothingToLose https://t.co/tevIelVkrq
neutral,OH NOOOOOOOO YEON WOO JIN DOING VLIVE MYGOODNESS MY JUDGE! #YeonWooJin #NothingToLose https://t.co/tevIelVkrq
positive,In the novel, LHS wanted to be a Nov 11 bride, ie 1111..in the drama these 2 incidents draws out its parallel. HS and JS agreeing to sleep at 11:11 and HS flew to see JS in Paris on Nov 11. #TemperatureofLove tidbits for fun. #SeoHyunJin #YangSeJong https://t.co/assKNucvz2
positive,In the novel, LHS wanted to be a Nov 11 bride, ie 1111..in the drama these 2 incidents draws out its parallel. HS and JS agreeing to sleep at 11:11 and HS flew to see JS in Paris on Nov 11. #TemperatureofLove tidbits for fun. #SeoHyunJin #YangSeJong https://t.co/assKNucvz2
positive,#JiHyunWoo said #TemperatureOfLove's #YangSeJong reminds him of his role in 'My Sweet Seoul' because the character also dated an older woman https://t.co/vNn34eLWtP https://t.co/eB7csR9Eia
neutral,Still cut #YeonWoojin #NothingtoLose #츤데레판사 https://t.co/RusOOgZZGB
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,Still cut #YeonWoojin #NothingtoLose #츤데레판사 https://t.co/RusOOgZZGB
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
negative,and I'm also watching #TemperatureofLove and for me, it's a realistic love story where you don't only get lovey-dovey all through your relationship. it's hard, sad, and heart-breaking, but it's real. it'll mess with your emotion.
neutral,I wish I had same level of patience that JS has for his mother! 🙌🏼🤣 #YangSeJong #TemperatureOfLove https://t.co/OpMUvifxqF
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose 2nd teaser : https://t.co/aCUWbcmlEe
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#TemperatureOfLove @HyunJinLight_TW support for #SeoHyunJin https://t.co/mCiM8IvavY https://t.co/9KH1MT529x
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
positive,Only looking forward to #IAmNotARobot &amp; #Jugglers ... otherwise, don’t have anything to watch after #TemperatureOfLove ends next week! Any good recommendations?! 🤓
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,Official #TemperatureOfLove will not be extended but will end its run at 40 episodes as planned on Nov21. All 4 episodes 37-40 will be broadcasted on Nov21. #SeoHyunJin #YangSeJong #KimJaeWook #JoBoa https://t.co/xE7bSthWqB https://t.co/KtbldSH5EC
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
positive,Exactly what we need after internet and drama all day. #TemperatureOfProductPlacement #TemperatureOfLove https://t.co/jGqxjOSWp6
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
positive,I swear I can’t wait to see #DongHa back in #NothingToLose. He is one amazing actor 😌🙌🏻 https://t.co/fep8d5LWll
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
positive,As I’m watching #TemperatureOfLove I keep wondering why the song in English playing in the background sounds familiar. Then I realize it’s 98 Degrees “My Everything”. I haven’t heard that song in forever. #kdramas
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/W9NsHClk8g
neutral,#NothingToLose still cuts : #YeonWooJin #DongHa https://t.co/bylHZTZSs0
negative,Dong Ha 🔥🔥🔥 #NothingToLose https://t.co/AdINCmbyIL
neutral,i want that hug too #TemperatureofLove #YangSeJong #양세종 #사랑의온도 #온정선 https://t.co/QSNVCFcmi8
positive,#JiHyunWoo said #TemperatureOfLove's #YangSeJong reminds him of his role in 'My Sweet Seoul' because the character also dated an older woman https://t.co/vNn34eLWtP https://t.co/eB7csR9Eia
positive,Exactly what we need after internet and drama all day. #TemperatureOfProductPlacement #TemperatureOfLove https://t.co/jGqxjOSWp6
negative,Dong Ha 🔥🔥🔥 #NothingToLose https://t.co/AdINCmbyIL
negative,Dong Ha 🔥🔥🔥 #NothingToLose https://t.co/AdINCmbyIL
neutral,#NothingToLose 2nd teaser : https://t.co/aCUWbcmlEe
negative,@OrvilleLloyd @nytimes @latimes #illconsiderit #nothingtolose - time to have a sit down with mom 😂
neutral,@NorcoSlinger ... Oh, did all that this week, then proceeded with an #EpicFail ... just gonna ride it out for now cause #NothingToLose
positive,Awe #LeeJongSuk sent a coffee truck to #YoonKyunSang to support him with his new drama #DoubtfulVictory. I adore their friendship! ☺️ https://t.co/7Ni0AZJBJ4
positive,When you tell your bestie you won't tweet at the corporation that just fired her for no reason #NotOnePenny #NothingWithoutYou #NothingToLose #pizza #Fired #ThursdayThoughts #teengirls #firstjob #Why #Indiana #fishers #HSE #higheredjobs #HighSchool #NotFair #realnews #Text 😲😲😲 https://t.co/ctLblM66fP
positive,Life is all about following the path that benifits you the most. - Hong Ah #Ep13 #TemperatureOfLove
neutral,Official #TemperatureOfLove will not be extended but will end its run at 40 episodes as planned on Nov21. All 4 episodes 37-40 will be broadcasted on Nov21. #SeoHyunJin #YangSeJong #KimJaeWook #JoBoa https://t.co/xE7bSthWqB https://t.co/KtbldSH5EC
neutral,Official #TemperatureOfLove will not be extended but will end its run at 40 episodes as planned on Nov21. All 4 episodes 37-40 will be broadcasted on Nov21. #SeoHyunJin #YangSeJong #KimJaeWook #JoBoa https://t.co/xE7bSthWqB https://t.co/KtbldSH5EC
positive,Exactly what we need after internet and drama all day. #TemperatureOfProductPlacement #TemperatureOfLove https://t.co/jGqxjOSWp6
positive,can they please go back being good friends again 😩 #TemperatureOfLove https://t.co/KqddleeJ3g
neutral,Ratings 171113: #WitchsCourt : 10.5% #TemperatureofLove : 5.8% | 7% #20thCenturyBoyandGirl : 2.8% | 2.7% #ThisLifeisOurFirst : 3.5%
neutral,Ratings 171114: #WitchsCourt : 11.9% #TemperatureofLove : 6.4% | 7.3% #20thCenturyBoyandGirl : 3.4% | 3% #ThisLifeisOurFirst : 3.9%
neutral,We gonna meet Yeon Woo Jin next week! GN 🌙#NothingToLose https://t.co/OQEv0DDcgG
positive,#DongHa &amp; #YeonWooJin por fi los voy a ver #excited #NothingToLose Credits IG actor_yeonwoojin 😘😙😍 https://t.co/XIKNoij5Jo
neutral,#이판사판 #NothingToLose #JudgeVsJudge 🖼️ newsen https://t.co/jKijVMKoCt
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
positive,Exactly what we need after internet and drama all day. #TemperatureOfProductPlacement #TemperatureOfLove https://t.co/jGqxjOSWp6
neutral,#NothingToLose 2nd teaser : https://t.co/aCUWbcmlEe
positive,Gentle hands #NothingToLose #연우진 https://t.co/eVlDzkiEmF
neutral,1st trailer for #OhTheMysterious (#DoubtfulVictory) starring #YoonKyunSang #JungHyeSung. https://t.co/lTxwbHViCS
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
positive,When you tell your bestie you won't tweet at the corporation that just fired her for no reason #NotOnePenny #NothingWithoutYou #NothingToLose #pizza #Fired #ThursdayThoughts #teengirls #firstjob #Why #Indiana #fishers #HSE #higheredjobs #HighSchool #NotFair #realnews #Text 😲😲😲 https://t.co/ctLblM66fP
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
positive,#ThursdayAfternoon It sucks to be back to work today after a long weekend in Connecticut☹️ Positive side, I’m still on a HIGH from @nickfradiani’s concert Sunday @MoheganSun🙌 Here’s a clip of #NothingToLose 🎶🎸😎❤️ https://t.co/yxHlyVZKJK
positive,Okay next week #NothingToLose na!
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
positive,Ceo Park likes strawberry milk im so in love 😄🍓💕 #TemperatureofLove
negative,#TemperatureOfLove is coming to an end. Please do not attack personally the actors and actresses who are just doing their job. They worked hard day and night and act according to the script, why blame them?🙄
neutral,Anybody know what's up with #TemperatureofLove and the missed episode? Any chance they'll still get it all done next week, or what?
negative,Remember this in a few weeks’ time, when the reality of #UniversalCredit starts to bite. 👇👇👇👇Starvation makes people dangerous. #NothingToLose https://t.co/U3VWuUle35
neutral,Anybody know what's up with #TemperatureofLove and the missed episode? Any chance they'll still get it all done next week, or what?
neutral,#NothingToLose 2nd teaser : https://t.co/aCUWbcmlEe
positive,D-6 still cuts : Nothing To Lose 😋😍 Pic : JUMPentertainment #YeonWoojin #연우진 #NothingtoLose https://t.co/QqVeOS58lj
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
positive,Korean dramas to look forward to next week #ThePackage #TemperatureOfLove #BecauseThisIsMyFirstLife and more to go 😍
positive,The most depressing line so far... Akkkkkkkkkkkkkkkk my heart hurt so much. I'm so glad that I didn't put down this drama at its very first episode. Omg this is getting better yet so stressful. Ughhh I like torturing myself 🙈😭 Kim Jae Wook-sshii~ 💘💘💘 #TemperatureOfLove https://t.co/anXE8MjfXE
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
negative,Because you're a bad person who treats the people around you like trash #TemperatureofLove https://t.co/1knmyKV8Er
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,Second Trailer Released for #DoubtfulVictory #kdrama #YoonKyunSang #JungHyeSung https://t.co/jDMzDPtins https://t.co/QEK4XZ2yBu
positive,I swear I can’t wait to see #DongHa back in #NothingToLose. He is one amazing actor 😌🙌🏻 https://t.co/fep8d5LWll
neutral,#NothingToLose 2nd teaser : https://t.co/aCUWbcmlEe
positive,#WhileYouWereSleeping #TemperatureOfLove #BecauseThisIsMyFirstLife #GoBackCouple I'm good for now. Anything beyond, my heart will burst.
positive,https://t.co/kZAPWU1kaY They have chemistry! 😍 #NothingToLose #soexcited He seems to call her down. #yes
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,KISS- NO BGM. Version. THIS IS A TAD HOTTER THAN THE ACTUAL SCENE. 😍 #SeoHyunJin #YangSeJong #TemperatureofLove https://t.co/jvCZIKCYQv
neutral,[VID] #TemperatureofLove #사랑의온도 cut #YangSeJong #양세종 https://t.co/Z5DEGxe1hZ https://t.co/7QFY4mjGwx
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,[VID] #TemperatureofLove #사랑의온도 cut #YangSeJong #양세종 https://t.co/8F8FZ8NTCu https://t.co/SbwyJonZLr
neutral,We gonna meet Yeon Woo Jin next week! GN 🌙#NothingToLose https://t.co/OQEv0DDcgG
neutral,string the murdering paedo's up we're all under attack all 7 billion of us #NothingToLose https://t.co/kDNPHNbWzE
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,Second Trailer Released for #DoubtfulVictory #kdrama #YoonKyunSang #JungHyeSung https://t.co/jDMzDPtins https://t.co/QEK4XZ2yBu
neutral,#NothingToLose 2nd teaser : https://t.co/aCUWbcmlEe
neutral,#NothingToLose 2nd teaser : https://t.co/aCUWbcmlEe
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
positive,Increased productivity through simple upgrades &amp; servicing can easily cover the cost in a short amount of time. Ask us about upgrade options https://t.co/sTFnUhO9pt #NothingToLose #Cornwall #Truro #Falmouth #Newquay #Redruth #Camborne #itsupport #ThursdayThoughts https://t.co/MLZcEHRBKe
positive,I love this drama #TemperatureofLove
negative,Next week #NothingToLose Park EunBin new drama 😍😍 https://t.co/gO5VbfSrQx
neutral,#TemperatureofLove #SeoHyunJin cries as LHS as if her heart is torn out from her. But people only see JS pain and not her pain. 😭 https://t.co/0UEmVDenUG
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
positive,#DoubtfulVictory's first script reading : https://t.co/Bo1p6juksg
neutral,#DoubtfulVictory 2nd teaser : https://t.co/iPijKo4wYV
positive,I understand why others have let go of #TemperatureofLove, but I just couldnt. I’m too invested in the story and with the characters. I’m actually sad that it might end on a sad note. otteoke! jebal, make them happyyy again! 😅😅☺️☺️
negative,#TemperatureofLove C'mon people. It's just a show. Don't project hate onto the actor or actress just because their characters were written badly.
neutral,#NothingToLose 3rd teaser : https://t.co/rLETM3XZan
neutral,#TemperatureofLove #SeoHyunJin cries as LHS as if her heart is torn out from her. But people only see JS pain and not her pain. 😭 https://t.co/0UEmVDenUG
